,Video ID,Video ID,Video ID,Video ID,Video ID,Video ID,Video ID,Video ID,Video ID,Video ID,Video ID,Video ID,Video ID,Video ID,Video ID,Video ID
Category Name,Autos & Vehicles,Comedy,Education,Entertainment,Film & Animation,Gaming,Howto & Style,Music,News & Politics,Nonprofits & Activism,People & Blogs,Pets & Animals,Science & Technology,Shows,Sports,Travel & Events
Country,,,,,,,,,,,,,,,,
CA,352.0,3771.0,991.0,13437.0,2049.0,1339.0,2006.0,3728.0,4151.0,74.0,4097.0,369.0,1155.0,124.0,2744.0,392.0
FR,672.0,4336.0,769.0,9814.0,2150.0,1458.0,2361.0,3944.0,3749.0,114.0,5717.0,236.0,802.0,99.0,4332.0,119.0
GB,144.0,1812.0,457.0,9089.0,2565.0,1788.0,1928.0,13722.0,1225.0,90.0,2926.0,534.0,518.0,20.0,1820.0,96.0
US,384.0,3457.0,1656.0,9956.0,2332.0,805.0,4138.0,6469.0,2487.0,57.0,3210.0,920.0,2401.0,57.0,2107.0,402.0
