,Country,Num Likes,Category
0,CA,564211196.0,Music
1,CA,386996046.0,Entertainment
2,CA,195697111.0,Comedy
3,FR,277292487.0,Music
4,FR,130775618.0,Comedy
5,FR,118233651.0,Entertainment
6,GB,3741079442.0,Music
7,GB,733112175.0,Entertainment
8,GB,146318184.0,Film & Animation
9,US,1416838349.0,Music
10,US,530337847.0,Entertainment
11,US,216346746.0,Comedy
